win	group	t_start	t_end	alive_after
217	fpbr	1784084039.482044	1784084044.502103	1
218	fe_lat	1784084044.502162	1784084049.522211	1
219	dram_bw	1784084049.522268	1784084054.540509	1
220	core_ports	1784084054.540567	1784084059.560744	1
221	cache	1784084059.560803	1784084064.581177	1
222	priv	1784084064.581234	1784084069.599793	1
223	fe	1784084069.599852	1784084074.619710	1
224	fpbr	1784084074.620729	1784084079.639902	1
225	mlp	1784084079.639960	1784084084.657397	1
226	priv	1784084084.657457	1784084089.676730	1
227	fe_lat	1784084089.676790	1784084094.697858	1
228	dram_bw	1784084094.697917	1784084099.717428	1
229	fe	1784084099.717485	1784084104.737457	1
230	core_ports	1784084104.737515	1784084109.757577	1
231	cache	1784084109.757637	1784084114.778183	1
232	fe	1784084114.779282	1784084119.802679	1
233	cache	1784084119.802742	1784084124.824618	1
234	fpbr	1784084124.824681	1784084129.844282	1
235	fe_lat	1784084129.844347	1784084134.864484	1
236	dram_bw	1784084134.864543	1784084139.882920	1
237	priv	1784084139.882983	1784084144.902047	1
238	mlp	1784084144.902107	1784084149.920426	1
239	core_ports	1784084149.920489	1784084154.941039	1
240	fpbr	1784084154.942144	1784084159.961902	0
