ts_ns	event	pid	ppid	comm	class	action
65047992743501	fork	113502	113498	python3	tool	moved:toolexec
65047992903402	exec	113502	113498	python3	tool	none
65048013952339	fork	113512	63405	openclaw-gatewa	agent	pending
65048015550824	exec	113512	63405	sh	tool	moved:toolexec
65048015954400	exit	113512	0		tool	none
65063019198345	fork	115280	63405	openclaw-gatewa	agent	pending
65063020966973	exec	115280	0	sh	tool	moved:toolexec
65063021376029	exit	115280	0		tool	none
65078024328256	fork	117064	63405	openclaw-gatewa	agent	pending
65078026067977	exec	117064	0	sh	tool	moved:toolexec
65078026473124	exit	117064	0		tool	none
65093029095226	fork	118845	63405	openclaw-gatewa	agent	pending
65093030863807	exec	118845	0	sh	tool	moved:toolexec
65093031268082	exit	118845	0		tool	none
65108034016723	fork	120616	63405	openclaw-gatewa	agent	pending
65108035789879	exec	120616	0	sh	tool	moved:toolexec
65108036214488	exit	120616	0		tool	none
65123038820391	fork	122398	63405	openclaw-gatewa	agent	pending
65123040490483	exec	122398	0	sh	tool	moved:toolexec
65123040897285	exit	122398	0		tool	none
65134930591541	exit	113502	0		tool	none
65134930827287	exit	113498	0		tool	none
65138044352433	fork	124165	63405	openclaw-gatewa	agent	pending
65138046072988	exec	124165	0	sh	tool	moved:toolexec
65138046484022	exit	124165	0		tool	none
65153049130124	fork	125950	63405	openclaw-gatewa	agent	pending
65153050841533	exec	125950	0	sh	tool	moved:toolexec
65153051257896	exit	125950	0		tool	none
65168053819923	fork	127728	63405	openclaw-gatewa	agent	pending
65168055523310	exec	127728	0	sh	tool	moved:toolexec
65168055923791	exit	127728	0		tool	none
65183058820072	fork	129500	63405	openclaw-gatewa	agent	pending
65183060535152	exec	129500	0	sh	tool	moved:toolexec
65183060935524	exit	129500	0		tool	none
65191823970298	fork	130544	63405	openclaw-gatewa	agent	pending
65191825717335	exec	130544	0	sh	tool	moved:toolexec
65191826059819	fork	130545	130544		tool	moved:toolexec
65191826224885	exec	130545	0		tool	none
65191826573114	exit	130545	0		tool	none
65191826652398	exit	130544	0		tool	none
65191830209358	fork	130546	63405	sh	agent	pending
65191831594077	exec	130546	63405	sh	tool	moved:toolexec
65191831932113	fork	130547	130546		tool	moved:toolexec
65191831982736	fork	130548	130546		tool	moved:toolexec
65191832241521	exec	130548	0		tool	none
65191832262128	exec	130547	0		tool	none
65191832795303	exit	130547	0		tool	none
65191832816470	exit	130548	0		tool	none
65191832843185	fork	130549	130546	ls	tool	moved:toolexec
65191832996124	exec	130549	130546	ls	tool	none
65191833516473	exit	130549	0		tool	none
65191833553814	fork	130550	130546	sh	tool	moved:toolexec
65191833706399	exec	130550	130546	ls	tool	none
65191834200225	exit	130550	0		tool	none
65191834331006	fork	130551	130546	sh	tool	moved:toolexec
65191834391650	fork	130552	130546	sh	tool	moved:toolexec
65191834710586	exec	130552	130546	wc	tool	none
65191834792102	exec	130551	130546	ls	tool	none
65191835345377	exit	130551	0		tool	none
65191835371027	exit	130552	0		tool	none
65191835452985	exit	130546	0		tool	none
65191837665492	fork	130553	63405	openclaw-gatewa	agent	pending
65191838962791	exec	130553	63405	sh	tool	moved:toolexec
65191839283718	fork	130554	130553	sh	tool	moved:toolexec
65191839426405	exec	130554	130553	cat	tool	none
65191839751089	exit	130554	0		tool	none
65191839785066	fork	130555	130553	sh	tool	moved:toolexec
65191839884781	exec	130555	130553	cat	tool	none
65191840177147	exit	130555	0		tool	none
65191840253078	exit	130553	0		tool	none
65198064352396	fork	131291	63405	openclaw-gatewa	agent	pending
65198066058092	exec	131291	0	sh	tool	moved:toolexec
65198066462434	exit	131291	0		tool	none
65204333392874	fork	132032	63405	openclaw-gatewa	agent	pending
65204335293614	exec	132032	0	sh	tool	moved:toolexec
65204335650916	fork	132033	132032		tool	moved:toolexec
65204335882806	exec	132033	0		tool	none
65204336254809	exit	132033	0		tool	none
65204336335698	exit	132032	0		tool	none
65204339878488	fork	132034	63405		agent	pending
65204341221091	exec	132034	0		tool	moved:toolexec
65204341513269	fork	132035	132034		tool	moved:toolexec
65204341613886	exec	132035	0		tool	none
65204341907925	exit	132035	0		tool	none
65204341983882	exit	132034	0		tool	none
65204345958177	fork	132036	63405	sh	agent	pending
65204347198693	exec	132036	63405	sh	tool	moved:toolexec
65204347480377	fork	132037	132036		tool	moved:toolexec
65204347562955	exec	132037	0		tool	none
65204347830148	exit	132037	0		tool	none
65204347903018	exit	132036	0		tool	none
65204352229390	fork	132045	63405	openclaw-gatewa	agent	pending
65204353468235	exec	132045	63405	sh	tool	moved:toolexec
65204353777778	fork	132047	132045	sh	tool	moved:toolexec
65204353872302	exec	132047	132045	ls	tool	none
65204354438633	exit	132047	0		tool	none
65204354498601	fork	132048	132045	sh	tool	moved:toolexec
65204354877213	exec	132048	132045	file	tool	none
65204358208637	exit	132048	0		tool	none
65204358289354	exit	132045	0		tool	none
65213069355749	fork	133080	63405	openclaw-gatewa	agent	pending
65213071006523	exec	133080	0	sh	tool	moved:toolexec
65213071422224	exit	133080	0		tool	none
65220829808726	fork	133988	63405	openclaw-gatewa	agent	pending
65220831641356	exec	133988	0	sh	tool	moved:toolexec
65220831993712	fork	133991	133988		tool	moved:toolexec
65220832161260	exec	133991	0		tool	none
65220832522739	exit	133991	0		tool	none
65220832601938	exit	133988	0		tool	none
65220836281162	fork	133997	63405		agent	pending
65220837665514	exec	133997	0		tool	moved:toolexec
65220837975333	fork	133999	133997		tool	moved:toolexec
65220838204760	exec	133999	0		tool	none
65220838543166	exit	133999	0		tool	none
65220838619287	exit	133997	0		tool	none
65220841237923	fork	134004	63405	sh	agent	pending
65220842498180	exec	134004	63405	sh	tool	moved:toolexec
65220842827729	fork	134005	134004	find	tool	moved:toolexec
65220842880832	fork	134006	134004	wc	tool	moved:toolexec
65220843191220	exec	134006	134004	wc	tool	none
65220843305022	exec	134005	134004	find	tool	none
65220844484061	exit	134005	0		tool	none
65220844512575	exit	134006	0		tool	none
65220844565433	fork	134007	134004	sh	tool	moved:toolexec
65220844619420	fork	134008	134004	sh	tool	moved:toolexec
65220844928588	exec	134008	134004	sort	tool	none
65220845047249	exec	134007	134004	find	tool	none
65220846118452	exit	134007	0		tool	none
65220846148774	exit	134008	0		tool	none
65220846227850	exit	134004	0		tool	none
65228075101139	fork	134855	63405	openclaw-gatewa	agent	pending
65228076812893	exec	134855	0	sh	tool	moved:toolexec
65228077230384	exit	134855	0		tool	none
65241608702798	fork	136468	63405	openclaw-gatewa	agent	pending
65241610265731	exec	136468	63405	sh	tool	moved:toolexec
65241610626406	fork	136469	136468	python3	tool	moved:toolexec
65241610858934	exec	136469	136468	python3	tool	none
65241626111273	exit	136469	0		tool	none
65241626299091	exit	136468	0		tool	none
65243080005290	fork	136638	63405	openclaw-gatewa	agent	pending
65243081740682	exec	136638	0	sh	tool	moved:toolexec
65243082152876	exit	136638	0		tool	none
65255038843700	fork	138056	63405	openclaw-gatewa	agent	pending
65255040688185	exec	138056	63405	sh	tool	moved:toolexec
65255041105857	fork	138057	138056		tool	moved:toolexec
65255041167429	fork	138058	138056		tool	moved:toolexec
65255041406494	exec	138058	0		tool	none
65255041525421	exec	138057	0		tool	none
65255042098799	exit	138057	0		tool	none
65255042125979	exit	138058	0		tool	none
65255042179538	fork	138059	138056		tool	moved:toolexec
65255042530331	exec	138059	0		tool	none
65255042858797	exit	138059	0		tool	none
65255043070432	fork	138060	138056		tool	moved:toolexec
65255043308257	exec	138060	0		tool	none
65255043646881	exit	138060	0		tool	none
65255043699285	fork	138061	138056		tool	moved:toolexec
65255043750404	fork	138062	138056		tool	moved:toolexec
65255043868288	exec	138061	0		tool	none
65255043927758	exec	138062	0		tool	none
65255044919844	exit	138061	0		tool	none
65255044931689	exit	138062	0		tool	none
65255044977795	fork	138063	138056		tool	moved:toolexec
65255045132316	exec	138063	0		tool	none
65255045415650	exit	138063	0		tool	none
65255045462414	fork	138064	138056		tool	moved:toolexec
65255045611255	exec	138064	0		tool	none
65255045876403	exit	138064	0		tool	none
65255045926728	fork	138065	138056		tool	moved:toolexec
65255046074837	exec	138065	0		tool	none
65255046327183	exit	138065	0		tool	none
65255046391511	fork	138066	138056		tool	moved:toolexec
65255046532553	exec	138066	0		tool	none
65255046789506	exit	138066	0		tool	none
65255046845468	fork	138067	138056		tool	moved:toolexec
65255046999220	exec	138067	0		tool	none
65255047261418	exit	138067	0		tool	none
65255047316909	fork	138068	138056		tool	moved:toolexec
65255047461710	exec	138068	0		tool	none
65255047713804	exit	138068	0		tool	none
65255047769335	fork	138069	138056		tool	moved:toolexec
65255047913331	exec	138069	0		tool	none
65255048171439	exit	138069	0		tool	none
65255048232960	fork	138070	138056		tool	moved:toolexec
65255048373175	exec	138070	0		tool	none
65255048627309	exit	138070	0		tool	none
65255048682097	fork	138071	138056		tool	moved:toolexec
65255048833200	exec	138071	0		tool	none
65255049093143	exit	138071	0		tool	none
65255049146242	fork	138072	138056		tool	moved:toolexec
65255049293280	exec	138072	0		tool	none
65255049544862	exit	138072	0		tool	none
65255049608199	fork	138073	138056		tool	moved:toolexec
65255049748212	exec	138073	0		tool	none
65255050006247	exit	138073	0		tool	none
65255050056949	fork	138074	138056		tool	moved:toolexec
65255050237696	exec	138074	0		tool	none
65255050517826	exit	138074	0		tool	none
65255050564738	fork	138075	138056		tool	moved:toolexec
65255050714180	exec	138075	0		tool	none
65255050972914	exit	138075	0		tool	none
65255051023626	fork	138076	138056		tool	moved:toolexec
65255051172699	exec	138076	0		tool	none
65255051434223	exit	138076	0		tool	none
65255051496441	fork	138077	138056		tool	moved:toolexec
65255051651178	exec	138077	0		tool	none
65255051929374	exit	138077	0		tool	none
65255051975763	fork	138078	138056		tool	moved:toolexec
65255052127521	exec	138078	0		tool	none
65255052388265	exit	138078	0		tool	none
65255052436459	fork	138079	138056		tool	moved:toolexec
65255052585021	exec	138079	0		tool	none
65255052843999	exit	138079	0		tool	none
65255052891012	fork	138080	138056		tool	moved:toolexec
65255053039695	exec	138080	0		tool	none
65255053302539	exit	138080	0		tool	none
65255053357925	fork	138081	138056		tool	moved:toolexec
65255053665580	exec	138081	0		tool	none
65255053975105	exit	138081	0		tool	none
65255054023709	fork	138082	138056		tool	moved:toolexec
65255054331038	exec	138082	0		tool	none
65255054637419	exit	138082	0		tool	none
65255054684503	fork	138083	138056		tool	moved:toolexec
65255054827534	exec	138083	0		tool	none
65255055092406	exit	138083	0		tool	none
65255055149129	fork	138084	138056		tool	moved:toolexec
65255055300018	exec	138084	0		tool	none
65255055558196	exit	138084	0		tool	none
65255055606815	fork	138085	138056		tool	moved:toolexec
65255055744380	exec	138085	0		tool	none
65255055988712	exit	138085	0		tool	none
65255056037377	fork	138086	138056	wc	tool	moved:toolexec
65255056186534	exec	138086	138056	wc	tool	none
65255056438019	exit	138086	0		tool	none
65255056497797	fork	138087	138056	sh	tool	moved:toolexec
65255056677035	exec	138087	138056	wc	tool	none
65255056956037	exit	138087	0		tool	none
65255057019423	fork	138088	138056	sh	tool	moved:toolexec
65255057171758	exec	138088	138056	wc	tool	none
65255057425370	exit	138088	0		tool	none
65255057475816	fork	138089	138056	sh	tool	moved:toolexec
65255057617800	exec	138089	138056	wc	tool	none
65255057870919	exit	138089	0		tool	none
65255057921542	fork	138090	138056	wc	tool	moved:toolexec
65255058074803	exec	138090	138056	wc	tool	none
65255058335176	exit	138090	0		tool	none
65255058388172	fork	138091	138056	sh	tool	moved:toolexec
65255058540228	exec	138091	138056	wc	tool	none
65255058793175	exit	138091	0		tool	none
65255058850960	fork	138092	138056	sh	tool	moved:toolexec
65255058986035	exec	138092	138056	wc	tool	none
65255059245452	exit	138092	0		tool	none
65255059295547	fork	138093	138056	sh	tool	moved:toolexec
65255059430324	exec	138093	138056	wc	tool	none
65255059679864	exit	138093	0		tool	none
65255059737612	fork	138094	138056	sh	tool	moved:toolexec
65255059880780	exec	138094	138056	wc	tool	none
65255060143810	exit	138094	0		tool	none
65255060200615	fork	138095	138056	sh	tool	moved:toolexec
65255060383751	exec	138095	138056	wc	tool	none
65255060674169	exit	138095	0		tool	none
65255060731460	fork	138096	138056	sh	tool	moved:toolexec
65255060881081	exec	138096	138056	wc	tool	none
65255061144208	exit	138096	0		tool	none
65255061194064	fork	138097	138056	sh	tool	moved:toolexec
65255061354943	exec	138097	138056	wc	tool	none
65255061608017	exit	138097	0		tool	none
65255061666837	fork	138098	138056	sh	tool	moved:toolexec
65255061825524	exec	138098	138056	wc	tool	none
65255062099993	exit	138098	0		tool	none
65255062156332	fork	138099	138056	sh	tool	moved:toolexec
65255062300134	exec	138099	138056	wc	tool	none
65255062556679	exit	138099	0		tool	none
65255062606894	fork	138100	138056	sh	tool	moved:toolexec
65255062758404	exec	138100	138056	wc	tool	none
65255063021258	exit	138100	0		tool	none
65255063071421	fork	138101	138056	sh	tool	moved:toolexec
65255063211009	exec	138101	138056	wc	tool	none
65255063462278	exit	138101	0		tool	none
65255063513592	fork	138102	138056	sh	tool	moved:toolexec
65255063655001	exec	138102	138056	wc	tool	none
65255063907319	exit	138102	0		tool	none
65255063966905	fork	138103	138056	sh	tool	moved:toolexec
65255064111287	exec	138103	138056	wc	tool	none
65255064367700	exit	138103	0		tool	none
65255064416987	fork	138104	138056	sh	tool	moved:toolexec
65255064552734	exec	138104	138056	wc	tool	none
65255064814343	exit	138104	0		tool	none
65255064865509	fork	138105	138056	sh	tool	moved:toolexec
65255065020278	exec	138105	138056	wc	tool	none
65255065284047	exit	138105	0		tool	none
65255065340545	fork	138106	138056	sh	tool	moved:toolexec
65255065487548	exec	138106	138056	wc	tool	none
65255065750628	exit	138106	0		tool	none
65255065817125	fork	138107	138056	sh	tool	moved:toolexec
65255065965314	exec	138107	138056	wc	tool	none
65255066225448	exit	138107	0		tool	none
65255066282396	fork	138108	138056	sh	tool	moved:toolexec
65255066423459	exec	138108	138056	wc	tool	none
65255066672285	exit	138108	0		tool	none
65255066729697	fork	138109	138056	sh	tool	moved:toolexec
65255066875640	exec	138109	138056	wc	tool	none
65255067138002	exit	138109	0		tool	none
65255067203706	fork	138110	138056	sh	tool	moved:toolexec
65255067357909	exec	138110	138056	wc	tool	none
65255067615452	exit	138110	0		tool	none
65255067671435	fork	138111	138056	sh	tool	moved:toolexec
65255067817356	exec	138111	138056	wc	tool	none
65255068068563	exit	138111	0		tool	none
65255068125989	fork	138112	138056	sh	tool	moved:toolexec
65255068272552	exec	138112	138056	wc	tool	none
65255068525943	exit	138112	0		tool	none
65255068584881	fork	138113	138056	sh	tool	moved:toolexec
65255068730501	exec	138113	138056	wc	tool	none
65255068988294	exit	138113	0		tool	none
65255069056997	fork	138114	138056	sh	tool	moved:toolexec
65255069208052	exec	138114	138056	seq	tool	none
65255069491768	exit	138114	0		tool	none
65255069548916	fork	138115	138056	sh	tool	moved:toolexec
65255069657725	fork	138116	138115	sh	tool	moved:toolexec
65255069702455	fork	138117	138115	sh	tool	moved:toolexec
65255069884026	exec	138116	138115	find	tool	none
65255069884690	exec	138117	138115	wc	tool	none
65255070472894	exit	138116	0		tool	none
65255070476573	exit	138117	0		tool	none
65255070558313	exit	138115	0		tool	none
65255070643566	fork	138118	138056	sh	tool	moved:toolexec
65255070737659	fork	138119	138118	sh	tool	moved:toolexec
65255070781840	fork	138120	138118	sh	tool	moved:toolexec
65255070904371	exec	138119	138118	find	tool	none
65255070957145	exec	138120	138118	wc	tool	none
65255071413104	exit	138119	0		tool	none
65255071430451	exit	138120	0		tool	none
65255071477168	exit	138118	0		tool	none
65255071533216	fork	138121	138056	sh	tool	moved:toolexec
65255071617368	fork	138122	138121	sh	tool	moved:toolexec
65255071657788	fork	138123	138121	sh	tool	moved:toolexec
65255071790203	exec	138122	138121	find	tool	none
65255071817919	exec	138123	138121	wc	tool	none
65255072265802	exit	138122	0		tool	none
65255072276013	exit	138123	0		tool	none
65255072334505	exit	138121	0		tool	none
65255072394636	fork	138124	138056	sh	tool	moved:toolexec
65255072478414	fork	138125	138124	sh	tool	moved:toolexec
65255072518987	fork	138126	138124	sh	tool	moved:toolexec
65255072649724	exec	138125	138124	find	tool	none
65255072673144	exec	138126	138124	wc	tool	none
65255073129623	exit	138125	0		tool	none
65255073131775	exit	138126	0		tool	none
65255073194652	exit	138124	0		tool	none
65255073248753	fork	138127	138056	sh	tool	moved:toolexec
65255073336811	fork	138128	138127	sh	tool	moved:toolexec
65255073383530	fork	138129	138127	sh	tool	moved:toolexec
65255073522635	exec	138128	138127	find	tool	none
65255073536584	exec	138129	138127	wc	tool	none
65255073997509	exit	138128	0		tool	none
65255074007965	exit	138129	0		tool	none
65255074059482	exit	138127	0		tool	none
65255074110333	fork	138131	138056	sh	tool	moved:toolexec
65255074194614	fork	138132	138131	sh	tool	moved:toolexec
65255074238054	fork	138134	138131	sh	tool	moved:toolexec
65255074367344	exec	138132	138131	find	tool	none
65255074400332	exec	138134	138131	wc	tool	none
65255074857256	exit	138132	0		tool	none
65255074862407	exit	138134	0		tool	none
65255074914913	exit	138131	0		tool	none
65255074967989	fork	138136	138056	sh	tool	moved:toolexec
65255075060645	fork	138137	138136	sh	tool	moved:toolexec
65255075105616	fork	138138	138136	sh	tool	moved:toolexec
65255075239499	exec	138137	138136	find	tool	none
65255075260792	exec	138138	138136	wc	tool	none
65255075699514	exit	138137	0		tool	none
65255075704935	exit	138138	0		tool	none
65255075757480	exit	138136	0		tool	none
65255075822106	fork	138140	138056	sh	tool	moved:toolexec
65255075910475	fork	138141	138140	sh	tool	moved:toolexec
65255075948794	fork	138142	138140	sh	tool	moved:toolexec
65255076092676	exec	138141	138140	find	tool	none
65255076103958	exec	138142	138140	wc	tool	none
65255076605474	exit	138141	0		tool	none
65255076613938	exit	138142	0		tool	none
65255076663693	exit	138140	0		tool	none
65255076744117	fork	138143	138056	sh	tool	moved:toolexec
65255076837670	fork	138144	138143	sh	tool	moved:toolexec
65255076883778	fork	138145	138143	sh	tool	moved:toolexec
65255077016558	exec	138144	138143	find	tool	none
65255077048349	exec	138145	138143	wc	tool	none
65255077498725	exit	138144	0		tool	none
65255077504584	exit	138145	0		tool	none
65255077559144	exit	138143	0		tool	none
65255077635248	fork	138146	138056	sh	tool	moved:toolexec
65255077745378	fork	138147	138146	sh	tool	moved:toolexec
65255077787845	fork	138148	138146	sh	tool	moved:toolexec
65255077939613	exec	138147	138146	find	tool	none
65255077948387	exec	138148	138146	wc	tool	none
65255078420371	exit	138147	0		tool	none
65255078427273	exit	138148	0		tool	none
65255078479956	exit	138146	0		tool	none
65255078565412	fork	138149	138056	sh	tool	moved:toolexec
65255078663758	fork	138150	138149	sh	tool	moved:toolexec
65255078715795	fork	138151	138149	sh	tool	moved:toolexec
65255078856610	exec	138150	138149	find	tool	none
65255078876266	exec	138151	138149	wc	tool	none
65255079341755	exit	138150	0		tool	none
65255079343623	exit	138151	0		tool	none
65255079400679	exit	138149	0		tool	none
65255079478868	fork	138152	138056	sh	tool	moved:toolexec
65255079582017	fork	138153	138152	sh	tool	moved:toolexec
65255079623822	fork	138154	138152	sh	tool	moved:toolexec
65255079776012	exec	138153	138152	find	tool	none
65255079780211	exec	138154	138152	wc	tool	none
65255080249935	exit	138153	0		tool	none
65255080256567	exit	138154	0		tool	none
65255080306514	exit	138152	0		tool	none
65255080391259	fork	138155	138056	sh	tool	moved:toolexec
65255080476005	fork	138156	138155	sh	tool	moved:toolexec
65255080523477	fork	138157	138155	sh	tool	moved:toolexec
65255080669408	exec	138156	138155	find	tool	none
65255080685028	exec	138157	138155	wc	tool	none
65255081153776	exit	138156	0		tool	none
65255081154572	exit	138157	0		tool	none
65255081209468	exit	138155	0		tool	none
65255081285760	fork	138158	138056	sh	tool	moved:toolexec
65255081375217	fork	138159	138158	sh	tool	moved:toolexec
65255081416023	fork	138160	138158	sh	tool	moved:toolexec
65255081563268	exec	138159	138158	find	tool	none
65255081575259	exec	138160	138158	wc	tool	none
65255082037779	exit	138159	0		tool	none
65255082041249	exit	138160	0		tool	none
65255082096516	exit	138158	0		tool	none
65255082177881	fork	138161	138056	sh	tool	moved:toolexec
65255082281872	fork	138162	138161	sh	tool	moved:toolexec
65255082331924	fork	138163	138161	sh	tool	moved:toolexec
65255082481055	exec	138162	138161	find	tool	none
65255082493272	exec	138163	138161	wc	tool	none
65255082953931	exit	138163	0		tool	none
65255082955147	exit	138162	0		tool	none
65255083014872	exit	138161	0		tool	none
65255083092237	fork	138164	138056	sh	tool	moved:toolexec
65255083193503	fork	138165	138164	sh	tool	moved:toolexec
65255083236597	fork	138166	138164	sh	tool	moved:toolexec
65255083383687	exec	138165	138164	find	tool	none
65255083404671	exec	138166	138164	wc	tool	none
65255083837543	exit	138165	0		tool	none
65255083846053	exit	138166	0		tool	none
