1782574645.289046891,0,32
1782574646.326655637,0,32
1782574647.362034117,0,32
1782574648.398946037,0,32
1782574649.435000445,0,32
1782574650.469895681,0,32
1782574651.505054213,0,32
1782574652.539995877,0,32
1782574653.575469630,0,32
1782574654.611091281,0,32
1782574655.649229107,0,32
1782574656.684185828,0,32
1782574657.721617748,0,32
1782574658.757964905,0,32
1782574659.791814024,0,32
1782574660.826889334,0,32
1782574661.863174396,0,32
1782574662.902806387,0,32
1782574663.940334157,0,32
1782574664.980663289,0,32
1782574666.016437951,0,32
1782574667.054175629,0,32
1782574668.093162185,0,32
1782574669.132720787,0,32
1782574670.170603942,0,32
1782574671.209541228,0,32
1782574672.248977437,0,32
1782574673.288795163,0,32
1782574674.331313224,0,32
1782574675.371880581,0,32
1782574676.411322120,0,32
1782574677.453054597,0,32
1782574678.495579699,0,32
1782574679.536670165,0,32
1782574680.575178256,0,32
1782574681.611672673,0,32
1782574682.652317995,0,32
1782574683.692122992,0,32
1782574684.730073339,0,32
1782574685.774735138,0,32
1782574686.817935110,0,32
1782574687.858178536,0,32
1782574688.899983604,0,32
1782574689.942461846,0,32
1782574690.985338579,0,32
1782574692.029251672,0,32
1782574693.073558322,0,32
1782574694.116671080,0,32
1782574695.157607690,0,32
1782574696.199760388,0,32
1782574697.238483534,0,32
1782574698.276508005,0,32
1782574699.317228485,0,32
1782574700.358366868,0,32
1782574701.400973092,0,32
1782574702.439513842,0,32
1782574703.479384268,0,32
1782574704.521061125,0,32
1782574705.559280558,0,32
1782574706.598533288,0,32
1782574707.638146782,0,32
1782574708.676742449,0,32
1782574709.721662877,0,32
1782574710.765399597,0,32
1782574711.806172718,0,32
1782574712.845988970,0,32
1782574713.888129288,0,32
1782574714.929494791,0,32
1782574715.966183998,0,32
1782574717.004494758,0,32
1782574718.049684997,0,32
1782574719.090532391,0,32
1782574720.130879831,0,32
1782574721.170509148,0,32
1782574722.208544725,0,32
1782574723.249998532,0,32
1782574724.289821547,0,32
1782574725.333939049,0,32
1782574726.375036020,0,32
1782574727.417474026,0,32
1782574728.456258000,0,32
1782574729.495333501,0,32
1782574730.542083546,0,32
1782574731.585428460,0,32
1782574732.623359546,0,32
1782574733.668452916,0,32
1782574734.715836377,0,32
1782574735.761827088,0,32
1782574736.796365466,0,32
1782574737.830474457,0,32
1782574738.869324538,0,32
1782574739.909215561,0,32
1782574740.945572632,0,32
1782574741.983166470,0,32
1782574743.021691046,0,32
1782574744.061647987,0,32
1782574745.100015985,0,32
1782574746.137472806,0,32
1782574747.178082103,0,32
1782574748.218018669,0,32
1782574749.261153472,0,32
1782574750.299903534,0,32
1782574751.339815223,0,32
1782574752.378676354,0,32
1782574753.417519806,0,32
1782574754.456573280,0,32
1782574755.494559078,0,32
1782574756.529895316,0,32
1782574757.571456438,0,32
1782574758.608584461,0,32
1782574759.649418552,0,32
1782574760.690459619,0,32
