# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 143K of event 'task-clock'
# Event count (approx.): 720934583250
#
# Overhead  Command          Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .................................................  ...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyDict_GetItemWithError
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyObject_RichCompare
     0.02%  vllm             python3.10                                         [.] _PyObject_GetMethod
     0.02%  VLLM::EngineCor  libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::BlockComparatorSize(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*)
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000046188b
     0.02%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] handle_softirqs
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000022114c
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000022126b
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000040765a
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyObject_SetAttr
     0.02%  VLLM::EngineCor  libc.so.6                                          [.] pthread_once@GLIBC_2.2.5
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d2b8
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyUnicode_FromFormatV
     0.02%  VLLM::EngineCor  libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::DeviceCachingAllocator::alloc_found_block(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::AllocParams const&, unsigned long, std::shared_ptr<c10::GatheredContext>, bool)
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d2b1
     0.02%  vllm             [kernel.kallsyms]                                  [k] do_syscall_64
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyObject_GC_Del
     0.02%  VLLM::EngineCor  python3.10                                         [.] _PyObject_LookupSpecial
     0.02%  VLLM::EngineCor  libc.so.6                                          [.] cfree@GLIBC_2.2.5
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000fb1147
     0.01%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000184f40
     0.01%  vllm             python3.10                                         [.] _PyObject_MakeTpCall
     0.01%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] ep_poll
     0.01%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000028e8e6
     0.01%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000fb6014
     0.01%  VLLM::EngineCor  libtorch_cpu.so                                    [.] torch::autograd::DifferentiableViewMeta::DifferentiableViewMeta(c10::TensorImpl*, std::optional<torch::autograd::ViewInfo>, std::optional<torch::autograd::ViewInfo>, bool, torch::autograd::CreationMeta)
     0.01%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] __fdget
     0.01%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000002210b8
     0.01%  VLLM::EngineCor  python3.10                                         [.] 0x00000000001529e0
     0.01%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000be4
     0.01%  VLLM::EngineCor  libc.so.6                                          [.] clock_gettime@@GLIBC_2.17
     0.01%  VLLM::EngineCor  libc.so.6                                          [.] pthread_cond_signal@@GLIBC_2.3.2
     0.01%  VLLM::EngineCor  libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::DeviceCachingAllocator::get_free_block(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::AllocParams&)
     0.01%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::as_strided_tensorimpl(at::Tensor const&, c10::ArrayRef<long>, c10::ArrayRef<long>, std::optional<long>)
     0.01%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::copy_impl(at::Tensor&, at::Tensor const&, bool) [clone .isra.0]
     0.01%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::cuda::detail::(anonymous namespace)::_hasPrimaryContext(signed char)
     0.01%  VLLM::EngineCor  libtorch_python.so                                 [.] pybind11::cpp_function::dispatcher(_object*, _object*, _object*)
     0.01%  VLLM::EngineCor  python3.10                                         [.] PyObject_IsInstance
     0.01%  VLLM::EngineCor  python3.10                                         [.] PyType_IsSubtype
     0.01%  VLLM::EngineCor  python3.10                                         [.] _PyStack_AsDict
     0.01%  vllm             libc.so.6                                          [.] malloc
     0.01%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618a3
     0.01%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::TensorIteratorBase::compute_shape(at::TensorIteratorConfig const&)
     0.01%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::TensorIteratorBase::compute_types(at::TensorIteratorConfig const&)
     0.01%  VLLM::EngineCor  python3.10                                         [.] PyObject_Malloc
     0.01%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000173aec
     0.01%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000180b85
     0.01%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000046199f
     0.01%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d3fc
     0.01%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::autograd::THPVariable_getitem(_object*, _object*)
     0.01%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000180c31
     0.01%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] futex_wake
